id,period,timestamp,minute,second,possession,duration,location,under_pressure,type.id,type.name,possession_team.id,possession_team.name,play_pattern.id,play_pattern.name,team.id,team.name,player.id,player.name,position.id,position.name,shot.statsbomb_xg,shot.end_location,shot.key_pass_id,shot.one_on_one,shot.aerial_won,shot.technique.id,shot.technique.name,shot.outcome.id,shot.outcome.name,shot.type.id,shot.type.name,shot.body_part.id,shot.body_part.name,match_id,competition_id,season_id,shot.open_goal,shot.first_time,shot.redirect,shot.deflected,shot.saved_to_post,location.x,location.y,shot.end_location.x,shot.end_location.y,shot.end_location.z
5dc5ae92-ba38-4fcf-8ee7-62839544edd1,1,41:28.8,41,28,73,0.1363,"c(110, 37)",TRUE,16,Shot,968,Arsenal WFC,1,Regular Play,968,Arsenal WFC,15623,Vivianne Miedema,23,Center Forward,0.037516944,"c(112, 37)",f978a5fa-4531-4baf-9833-6d721af25987,NA,TRUE,93,Normal,96,Blocked,87,Open Play,37,Head,19797,37,4,NA,NA,NA,NA,NA,110,37,112,37,NA
902d8492-9f4e-4b96-b97c-52d779d6fa37,1,44:18.1,44,18,78,2.213736,"c(84, 53)",NA,16,Shot,968,Arsenal WFC,1,Regular Play,968,Arsenal WFC,10658,Danielle van de Donk,13,Right Center Midfield,0.009905104,"c(118, 42.4, 0.7)",NA,NA,NA,93,Normal,100,Saved,87,Open Play,40,Right Foot,19797,37,4,NA,NA,NA,NA,NA,84,53,118,42.4,0.7
2d19ae53-14b4-4111-bde1-d2bffa72fba4,2,00:44.6,45,44,85,0.4469,"c(95, 34)",NA,16,Shot,968,Arsenal WFC,3,From Free Kick,968,Arsenal WFC,10666,Dominique Johanna Anna Bloodworth,10,Center Defensive Midfield,0.080509014,"c(105, 35)",NA,NA,NA,93,Normal,96,Blocked,62,Free Kick,40,Right Foot,19797,37,4,NA,NA,NA,NA,NA,95,34,105,35,NA
f9288714-f8eb-49ea-95dd-476c2f6b5590,2,01:57.4,46,57,87,0.365536,"c(99, 33)",NA,16,Shot,968,Arsenal WFC,4,From Throw In,968,Arsenal WFC,10179,Lisa Evans,17,Right Wing,0.026602082,"c(117, 44)",NA,NA,NA,93,Normal,101,Wayward,87,Open Play,40,Right Foot,19797,37,4,NA,NA,NA,NA,NA,99,33,117,44,NA
148159b6-4e32-4a6e-b4f1-c591ff286077,2,03:15.0,48,14,88,0.111121,"c(110, 43)",NA,16,Shot,968,Arsenal WFC,4,From Throw In,968,Arsenal WFC,15619,Bethany Mead,21,Left Wing,0.05745817,"c(116, 34)",f6582b13-cdf8-4922-9484-8fa4312be4e1,NA,NA,93,Normal,101,Wayward,87,Open Play,37,Head,19797,37,4,NA,NA,NA,NA,NA,110,43,116,34,NA
ee9fc77a-7eb1-4c67-8d01-e1539bf58867,2,04:44.5,49,44,92,0.2407,"c(110, 35)",NA,16,Shot,968,Arsenal WFC,4,From Throw In,968,Arsenal WFC,15623,Vivianne Miedema,23,Center Forward,0.11706834,"c(112, 36)",59b8d4a8-8147-4b7e-88e5-9d8ff4670b12,NA,NA,93,Normal,96,Blocked,87,Open Play,38,Left Foot,19797,37,4,NA,NA,NA,NA,NA,110,35,112,36,NA
8be4ebe2-35d4-4d84-90cf-285737ca8679,2,05:22.3,50,22,92,1.36006,"c(99, 57)",NA,16,Shot,968,Arsenal WFC,4,From Throw In,968,Arsenal WFC,10179,Lisa Evans,17,Right Wing,0.025304053,"c(118, 43.8, 0.8)",f8229bc6-d09f-4dec-bb2b-9de1a26d100a,NA,NA,93,Normal,100,Saved,87,Open Play,38,Left Foot,19797,37,4,NA,NA,NA,NA,NA,99,57,118,43.8,0.8
360b8cba-999c-4f9d-9ece-966775177a7b,2,06:12.8,51,12,95,0.2084,"c(104, 40)",NA,16,Shot,968,Arsenal WFC,4,From Throw In,968,Arsenal WFC,15616,Kim Little,15,Left Center Midfield,0.07832949,"c(105, 41)",NA,NA,NA,93,Normal,96,Blocked,87,Open Play,38,Left Foot,19797,37,4,NA,NA,NA,NA,NA,104,40,105,41,NA
d2bd660d-c8c8-499f-8295-56fe70701ff1,2,08:01.2,53,1,98,0.697215,"c(99, 30)",NA,16,Shot,968,Arsenal WFC,2,From Corner,968,Arsenal WFC,15623,Vivianne Miedema,23,Center Forward,0.0485556,"c(120, 44.2, 3.7)",0aa02051-3eba-4f17-b2e1-60ce939ca767,NA,NA,93,Normal,98,Off T,87,Open Play,40,Right Foot,19797,37,4,NA,NA,NA,NA,NA,99,30,120,44.2,3.7
ac48daa4-b713-4c8d-b380-2ce17f01b7a8,2,11:37.9,56,37,105,0.1692,"c(113, 40)",TRUE,16,Shot,968,Arsenal WFC,2,From Corner,968,Arsenal WFC,10091,Janni Arnth-Jensen,2,Right Back,0.0439272,"c(113, 44)",fb98e5b1-3102-4ba9-9834-95896423fe45,NA,TRUE,93,Normal,101,Wayward,87,Open Play,37,Head,19797,37,4,NA,NA,NA,NA,NA,113,40,113,44,NA
5a0a2611-1902-489a-8d19-b2119c4075d6,2,11:58.7,56,58,105,0.6936,"c(90, 59)",NA,16,Shot,968,Arsenal WFC,2,From Corner,968,Arsenal WFC,18999,Leah Williamson,3,Right Center Back,0.013431566,"c(104, 45)",e4046f02-1b1c-4d4e-8335-ad3408ead410,NA,NA,93,Normal,96,Blocked,87,Open Play,40,Right Foot,19797,37,4,NA,NA,NA,NA,NA,90,59,104,45,NA
aa3d7f27-6a39-46fd-bfdd-666206437d36,2,12:00.9,57,0,105,0.1588,"c(113, 40)",NA,16,Shot,968,Arsenal WFC,2,From Corner,968,Arsenal WFC,15623,Vivianne Miedema,23,Center Forward,0.44263586,"c(115, 39.5, 1.5)",NA,NA,NA,93,Normal,100,Saved,87,Open Play,40,Right Foot,19797,37,4,NA,NA,NA,NA,NA,113,40,115,39.5,1.5
68a94c68-b1c5-40e7-b458-477ce06c2c8f,2,13:54.9,58,54,108,0.537055,"c(107, 41)",NA,16,Shot,968,Arsenal WFC,1,Regular Play,968,Arsenal WFC,15616,Kim Little,15,Left Center Midfield,0.097794384,"c(120, 36.4, 0.7)",2b150b69-771b-411f-be99-c288678f6ce8,NA,NA,93,Normal,97,Goal,87,Open Play,38,Left Foot,19797,37,4,NA,NA,NA,TRUE,NA,107,41,120,36.4,0.7
5fd7b800-eedb-4834-ae35-6c7e23363f93,2,22:03.8,67,3,119,0.2512,"c(106, 25)",TRUE,16,Shot,968,Arsenal WFC,4,From Throw In,968,Arsenal WFC,15619,Bethany Mead,21,Left Wing,0.04360261,"c(107, 25)",60c2e73e-ae2c-4919-bc8a-bea4e9a88b26,NA,NA,93,Normal,96,Blocked,87,Open Play,40,Right Foot,19797,37,4,NA,NA,NA,NA,NA,106,25,107,25,NA
7f159bb8-3e64-43ec-85da-f460a83b5dc4,2,25:58.6,70,58,128,1.230771,"c(113, 60)",NA,16,Shot,968,Arsenal WFC,4,From Throw In,968,Arsenal WFC,15619,Bethany Mead,21,Left Wing,0.031448837,"c(120, 36.2, 1.2)",2dea393a-16d2-4c99-8053-72475536d3a0,NA,NA,92,Lob,97,Goal,87,Open Play,40,Right Foot,19797,37,4,NA,NA,NA,NA,NA,113,60,120,36.2,1.2
a45e6b49-75ff-4296-888a-ec58015645e6,2,27:53.8,72,53,131,0.8086,"c(109, 41)",NA,16,Shot,968,Arsenal WFC,5,Other,968,Arsenal WFC,15616,Kim Little,15,Left Center Midfield,0.76,"c(120, 36.4, 1.3)",NA,NA,NA,93,Normal,97,Goal,88,Penalty,40,Right Foot,19797,37,4,NA,NA,NA,NA,NA,109,41,120,36.4,1.3
